"ASIN"	"ResultRank"	"Title"	"Author"	"SalesRank"	"isInKU"	"ReleaseDate"	"nPages"	"Price"	"averageReview"	"nReviews"
"B015X5KBJG"	1	"Milk and Honey"	"Rupi Kaur"	1	TRUE	2015-10-06	210	6.4	4.6	3276
"B06XGFQ23J"	2	"Pretty Girls Dancing"	"Kylie Brant"	2	FALSE	2018-01-01	370	4.99	4.4	86
"B00C5R73JC"	3	"W is for Wasted: A Kinsey Millhone Novel"	"Sue Grafton"	3	FALSE	2013-09-10	498	1.99	4.3	3809
"B06XKRKFZL"	4	"A River in Darkness: One Man's Escape from North Korea"	"Masaji Ishikawa"	4	FALSE	2018-01-01	155	4.99	4.8	251
"B01KXQ8SS6"	5	"A Criminal Defense"	"Jr., William L. Myers"	5	TRUE	2017-04-01	382	3.99	4.4	4205
"B06X3QKWLG"	6	"How to Instant Pot: Mastering All the Functions of the One Pot That Will Change the Way You Cook"	"Daniel Shumski"	6	FALSE	2017-10-31	288	1.99	4.3	14
"B06XTQ4YD1"	7	"Daughters of the Night Sky"	"Aimie K. Runyan"	7	FALSE	2018-01-01	312	4.99	4.5	72
"B007MKCQ30"	8	"The Price of Inequality: How Today's Divided Society Endangers Our Future"	"Joseph E. Stiglitz"	8	TRUE	2013-04-08	449	9.99	4.4	500
"B0776SH1ML"	9	"The Sign of the Beast (Kindle Single)"	"Joyce Carol Oates"	9	TRUE	2017-11-28	40	1.99	3.4	41
"B0192CTMYG"	10	"Harry Potter and the Sorcerer's Stone"	"J.K. Rowling"	10	TRUE	2015-12-08	322	8.99	4.8	58829
"B06ZY1HXKC"	11	"Only the Rain"	"Randall Silvis"	11	FALSE	2018-01-01	186	4.99	4.1	82
"B01B1OGQH4"	12	"Blood on the Tracks (Sydney Rose Parnell Series Book 1)"	"Barbara Nickless"	12	TRUE	2016-10-01	386	4.99	4.5	5446
"B0751BNQH4"	13	"Crown Heights (Kindle Single)"	"Colin Warner,Carl King,Holly Lorincz"	13	TRUE	2017-11-28	103	1.99	4.5	13
